accepted_by,active,component_name,component_version,created,cvssv3_score,description,epss_percentile,epss_score,false_p,file_path,id,is_mitigated,line,long_term_acceptance,mitigated,mitigation,priority,priority_classification,references,reviewed_by,risk_status,severity,sla_age,sla_days_remaining,sla_expiration_date,sla_start_date,title,risk_acceptance_expiration_date,environment_image,cluster,registry_image,repository_image,namespace_image,tag_image,cloud_id,hostname,custom_id,found_by,engagement,area_responsible,product,product_type,product_type_environment,company,endpoints,vulnerability_ids,tags,classification
,True,io.demo_fake-template-engine,6.3.0,2026-05-21 10:10:00.000+00:00,6.5,"AWS CloudTrail is not enabled for management event logging in the us-east-1 region. Privileged API calls including IAM changes and security group modifications go unrecorded, reducing visibility for incident response. Demo record 11.",0.35966,0.00034,False,src/main/io.demo/fake-template-engine/demo_11.java,10000011,False,,,,6.3.2,0.01,Medium Low,https://nvd.nist.gov/vuln/detail/CVE-2025-99011 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99011 NEWLINE https://demo.example.com/advisories/CVE-2025-99011,,Risk Active,Medium,190,45,2026-07-05,2026-01-06,CloudTrail logging disabled for management events in region us-east-1 - Demo 11,,,,,,,,,,,AWS Config,DEMO_001_FakeBank_MR_ms_cuentas,EQUIPO DEMO BACKEND,Demo_DEMO001,DEMO PRODUCTO A,PRODUCCION,Demo Corp,,CVE-2025-99011 io.demo_fake-template-engine 6.3.0,c2c,Business Application
,True,org.demo_fake-serializer,0.9.1,2026-05-21 10:11:00.000+00:00,5.5,The EC2 security group associated with the insurance service allows inbound TCP port 22 (SSH) from all IPv4 addresses. This unnecessarily expands the attack surface and enables brute-force login attempts from the internet. Demo record 12.,0.24687,0.00083,False,src/main/org.demo/fake-serializer/demo_12.java,10000012,False,,,,Restrict SSH access to a bastion host IP range or use AWS Systems Manager Session Manager to eliminate SSH exposure entirely.,0.01,Medium Low,https://nvd.nist.gov/vuln/detail/CVE-2025-99012 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99012 NEWLINE https://demo.example.com/advisories/CVE-2025-99012,,Risk Active,Medium,191,79,2026-08-08,2026-02-09,Security group allows unrestricted inbound SSH access from 0.0.0.0/0 - Demo 12,,,,,,,,,,,AWS Config,DEMO_002_FakeShop_MR_ms_pedidos,EQUIPO DEMO ECOMMERCE,Demo_DEMO002,DEMO PRODUCTO B,PRODUCCION,Demo Corp,,CVE-2025-99012 org.demo_fake-serializer 0.9.1,c2c,Business Application
,True,com.demo_fake-crypto-lib,1.2.3,2026-05-21 10:12:00.000+00:00,3.5,The RDS database instance for the insurance service has automated backups disabled. A failure or ransomware event would result in irreversible data loss without a point-in-time recovery option. Demo record 13.,0.36095,0.00051,False,src/main/com.demo/fake-crypto-lib/demo_13.java,10000013,False,,,,Enable automated backups with a retention period of at least 7 days. Upgrade template engine to 6.3.2.,0.01,Low,https://nvd.nist.gov/vuln/detail/CVE-2025-99013 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99013 NEWLINE https://demo.example.com/advisories/CVE-2025-99013,,Risk Active,Low,192,142,2026-10-10,2026-04-13,RDS instance with automated backups disabled - Demo 13,,,,,,,,,,,AWS Config,DEMO_003_FakeLogistic_MR_ms_envios,EQUIPO DEMO LOGISTICA,Demo_DEMO003,DEMO PRODUCTO C,ENTORNO PLATAFORMAS DE DESARROLLO,Demo Corp,,CVE-2025-99013 com.demo_fake-crypto-lib 1.2.3,c2c,Business Application
,True,org.example_demo-http-client,2.1.0,2026-05-21 10:13:00.000+00:00,7.8,org.example:demo-http-client versions below 2.1.4 do not validate redirect destinations when following 3xx responses. An attacker controlling a server can redirect the client to internal network endpoints (e.g. AWS metadata service at 169.254.169.254). Demo record 14.,0.25623,0.00062,False,src/main/org.example/demo-http-client/demo_14.java,10000014,False,,,,Upgrade org.example:demo-http-client to 2.1.4.,0.01,High,https://nvd.nist.gov/vuln/detail/CVE-2025-99014 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99014 NEWLINE https://demo.example.com/advisories/CVE-2025-99014,,Risk Active,High,193,13,2026-06-03,2025-12-05,HTTP Client: Server-Side Request Forgery via malformed redirect handling - Demo 14,,,,,,,,,,,Trivy Scan,DEMO_004_FakeInsurance_MR_ms_polizas,EQUIPO DEMO SEGUROS,Demo_DEMO004,DEMO PRODUCTO D,PRODUCCION,Demo Corp,,CVE-2025-99014 org.example_demo-http-client 2.1.0,engine_dependencies,Business Application
,True,com.example_fake-json-parser,3.0.1,2026-05-21 10:14:00.000+00:00,6.2,"com.example:fake-json-parser versions before 3.0.3 do not impose limits on object nesting depth. A crafted JSON payload with thousands of nested objects causes unbounded memory allocation and stack overflow, leading to denial of service. Demo record 15.",0.11116,0.00055,False,src/main/com.example/fake-json-parser/demo_15.java,10000015,False,,,,Upgrade com.example:fake-json-parser to 3.0.3.,0.01,Medium Low,https://nvd.nist.gov/vuln/detail/CVE-2025-99015 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99015 NEWLINE https://demo.example.com/advisories/CVE-2025-99015,,Risk Active,Medium,194,64,2026-07-24,2026-01-25,JSON Parser: Uncontrolled resource consumption via deeply nested input - Demo 15,,,,,,,,,,,Trivy Scan,DEMO_002_FakeShop_TEST_ms_pedidos_test,EQUIPO DEMO ECOMMERCE,Demo_DEMO002,DEMO PRODUCTO B,QA,Demo Corp,,CVE-2025-99015 com.example_fake-json-parser 3.0.1,engine_dependencies,Business Application
,True,io.demo_fake-db-driver,4.5.2,2026-05-21 10:15:00.000+00:00,8.2,com.demo:fake-crypto-lib prior to 1.2.5 uses a PRNG with a measurable statistical bias when generating RSA prime candidates. Sufficiently large samples of public keys generated by the affected library can be factored using a lattice-based attack. Demo record 16.,0.10742,0.00073,False,src/main/io.demo/fake-db-driver/demo_16.java,10000016,False,,,,Upgrade com.demo:fake-crypto-lib to 1.2.5.,0.01,High,https://nvd.nist.gov/vuln/detail/CVE-2025-99016 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99016 NEWLINE https://demo.example.com/advisories/CVE-2025-99016,,Risk Active,High,195,-10,2026-05-11,2025-11-12,Crypto Lib: Weak RSA key generation due to biased PRNG - Demo 16,,,,,,,,,,,Trivy Scan,DEMO_001_FakeBank_MR_ms_cuentas,EQUIPO DEMO BACKEND,Demo_DEMO001,DEMO PRODUCTO A,PRODUCCION,Demo Corp,,CVE-2025-99016 io.demo_fake-db-driver 4.5.2,engine_dependencies,Business Application
,True,org.demo_fake-xml-parser,1.0.0,2026-05-21 10:16:00.000+00:00,9.8,io.demo:fake-db-driver versions before 4.5.9 deserialize server-provided responses without type validation. A malicious or compromised database server can deliver a gadget chain payload that executes arbitrary code on the application host. Demo record 17.,0.08633,0.00097,False,src/main/org.demo/fake-xml-parser/demo_17.java,10000017,False,,,,Upgrade io.demo:fake-db-driver to 4.5.9 immediately.,0.01,Critical,https://nvd.nist.gov/vuln/detail/CVE-2025-99017 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99017 NEWLINE https://demo.example.com/advisories/CVE-2025-99017,,Risk Active,Critical,196,-64,2026-03-18,2025-09-19,DB Driver: Remote code execution via deserialization of untrusted data - Demo 17,,,,,,,,,,,Trivy Scan,DEMO_002_FakeShop_MR_ms_pedidos,EQUIPO DEMO ECOMMERCE,Demo_DEMO002,DEMO PRODUCTO B,PRODUCCION,Demo Corp,,CVE-2025-99017 org.demo_fake-xml-parser 1.0.0,engine_dependencies,Business Application
,True,com.fake_demo-session-manager,2.3.4,2026-05-21 10:17:00.000+00:00,5.8,"io.example:demo-auth-lib before 5.1.3 accepts JWTs with the ""none"" algorithm if the header algorithm field is set to ""None"" (mixed case). An attacker can forge arbitrary JWT payloads and bypass authentication entirely. Demo record 18.",0.28468,0.0007,False,src/main/com.fake/demo-session-manager/demo_18.java,10000018,False,,,,"Upgrade io.example:demo-auth-lib to 5.1.3 and explicitly reject the ""none"" algorithm in the JWT validation configuration.",0.01,Medium Low,https://nvd.nist.gov/vuln/detail/CVE-2025-99018 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99018 NEWLINE https://demo.example.com/advisories/CVE-2025-99018,,Risk Active,Medium,197,32,2026-06-22,2025-12-24,Auth Lib: JWT signature verification bypass with algorithm confusion - Demo 18,,,,,,,,,,,Trivy Scan,DEMO_003_FakeLogistic_MR_ms_envios,EQUIPO DEMO LOGISTICA,Demo_DEMO003,DEMO PRODUCTO C,ENTORNO PLATAFORMAS DE DESARROLLO,Demo Corp,,CVE-2025-99018 com.fake_demo-session-manager 2.3.4,engine_dependencies,Business Application
,True,io.example_demo-auth-lib,5.1.0,2026-05-21 10:18:00.000+00:00,3.7,com.example:demo-scheduler version 2.0.0 does not validate cron expressions before parsing. A user with job scheduling permissions can submit an expression with a zero-length time unit that causes an infinite loop in the scheduler thread. Demo record 19.,0.00036,0.00019,False,src/main/io.example/demo-auth-lib/demo_19.java,10000019,False,,,,Upgrade com.example:demo-scheduler to 2.0.2.,0.01,Low,https://nvd.nist.gov/vuln/detail/CVE-2025-99019 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99019 NEWLINE https://demo.example.com/advisories/CVE-2025-99019,,Risk Active,Low,198,108,2026-09-06,2026-03-10,Scheduler: Denial of service via malformed cron expression - Demo 19,,,,,,,,,,,Trivy Scan,DEMO_004_FakeInsurance_MR_ms_polizas,EQUIPO DEMO SEGUROS,Demo_DEMO004,DEMO PRODUCTO D,PRODUCCION,Demo Corp,,CVE-2025-99019 io.example_demo-auth-lib 5.1.0,engine_dependencies,Business Application
,True,com.demo_example-cache,3.2.1,2026-05-21 10:19:00.000+00:00,6.5,"org.demo:fake-xml-parser versions before 1.1.0 do not set limits on XML entity expansion. A small XML document that references deeply nested entities can expand to gigabytes in memory, causing out-of-memory conditions. Demo record 20.",0.31847,0.00053,False,src/main/com.demo/example-cache/demo_20.java,10000020,False,,,,Upgrade org.demo:fake-xml-parser to 1.1.0.,0.01,Medium Low,https://nvd.nist.gov/vuln/detail/CVE-2025-99020 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99020 NEWLINE https://demo.example.com/advisories/CVE-2025-99020,,Risk Active,Medium,199,44,2026-07-04,2026-01-05,XML Parser: Billion laughs XML entity expansion attack - Demo 20,,,,,,,,,,,Trivy Scan,DEMO_002_FakeShop_TEST_ms_pedidos_test,EQUIPO DEMO ECOMMERCE,Demo_DEMO002,DEMO PRODUCTO B,QA,Demo Corp,,CVE-2025-99020 com.demo_example-cache 3.2.1,engine_dependencies,Business Application
,True,org.fake_demo-logger,1.8.5,2026-05-21 10:20:00.000+00:00,5,io.demo:fake-template-engine 6.3.0 evaluates template expressions found in user input without sandboxing. An attacker can inject template directives that execute arbitrary server-side code or read sensitive files from the filesystem. Demo record 21.,0.08228,0.00082,False,src/main/org.fake/demo-logger/demo_21.java,10000021,False,,,,Upgrade io.demo:fake-template-engine to 6.3.2 and always sanitize input before passing it to the template rendering context.,0.01,Medium Low,https://nvd.nist.gov/vuln/detail/CVE-2025-99021 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99021 NEWLINE https://demo.example.com/advisories/CVE-2025-99021,,Risk Active,Medium,200,90,2026-08-19,2026-02-20,Template Engine: Server-side template injection via user-controlled input - Demo 21,,,,,,,,,,,Trivy Scan,DEMO_001_FakeBank_MR_ms_cuentas,EQUIPO DEMO BACKEND,Demo_DEMO001,DEMO PRODUCTO A,PRODUCCION,Demo Corp,,CVE-2025-99021 org.fake_demo-logger 1.8.5,engine_dependencies,Business Application
,True,com.example_demo-scheduler,2.0.0,2026-05-21 10:21:00.000+00:00,8.6,The Docker image for the accounts service runs processes as root (UID 0) and mounts the application volume as read-write. A container escape or RCE vulnerability would immediately grant root-level access to the host namespace. Demo record 22.,0.17731,0.00073,False,src/main/com.example/demo-scheduler/demo_22.java,10000022,False,,,,Define a non-root USER in the Dockerfile and set the root filesystem to read-only using securityContext.readOnlyRootFilesystem: true.,0.01,High,https://nvd.nist.gov/vuln/detail/CVE-2025-99022 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99022 NEWLINE https://demo.example.com/advisories/CVE-2025-99022,,Risk Active,High,201,19,2026-06-09,2025-12-11,Container image running as root user without read-only filesystem - Demo 22,,,,,,,,,,,Trivy Scan,DEMO_002_FakeShop_MR_ms_pedidos,EQUIPO DEMO ECOMMERCE,Demo_DEMO002,DEMO PRODUCTO B,PRODUCCION,Demo Corp,,CVE-2025-99022 com.example_demo-scheduler 2.0.0,engine_container,Business Application
,True,io.demo_fake-template-engine,6.3.0,2026-05-21 10:22:00.000+00:00,5.5,The orders service container image is built on a base OS image that reached end-of-life and no longer receives security patches. Several high-severity kernel and libc vulnerabilities remain unpatched in the base layer. Demo record 23.,0.36105,0.00024,False,src/main/io.demo/fake-template-engine/demo_23.java,10000023,False,,,,Rebuild image using a maintained base image (e.g. alpine:3.19 or debian:bookworm-slim). Pin base image digest to prevent supply-chain substitution.,0.01,Medium Low,https://nvd.nist.gov/vuln/detail/CVE-2025-99023 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99023 NEWLINE https://demo.example.com/advisories/CVE-2025-99023,,Risk Active,Medium,202,67,2026-07-27,2026-01-28,Container image based on deprecated base OS with unpatched CVEs - Demo 23,,,,,,,,,,,Trivy Scan,DEMO_003_FakeLogistic_MR_ms_envios,EQUIPO DEMO LOGISTICA,Demo_DEMO003,DEMO PRODUCTO C,ENTORNO PLATAFORMAS DE DESARROLLO,Demo Corp,,CVE-2025-99023 io.demo_fake-template-engine 6.3.0,engine_container,Business Application
,True,org.demo_fake-serializer,0.9.1,2026-05-21 10:23:00.000+00:00,3.3,Database credentials and API keys are injected as environment variables in the Kubernetes pod specification using plain-text values. Environment variables are readable by any process in the container and may be leaked via /proc inspection. Demo record 24.,0.1658,0.00039,False,src/main/org.demo/fake-serializer/demo_24.java,10000024,False,,,,,0.01,Low,https://nvd.nist.gov/vuln/detail/CVE-2025-99024 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99024 NEWLINE https://demo.example.com/advisories/CVE-2025-99024,,Risk Active,Low,203,138,2026-10-06,2026-04-09,Secrets mounted as environment variables in container spec - Demo 24,,,,,,,,,,,Trivy Scan,DEMO_004_FakeInsurance_MR_ms_polizas,EQUIPO DEMO SEGUROS,Demo_DEMO004,DEMO PRODUCTO D,PRODUCCION,Demo Corp,,CVE-2025-99024 org.demo_fake-serializer 0.9.1,engine_container,Business Application
,True,com.demo_fake-crypto-lib,1.2.3,2026-05-21 10:24:00.000+00:00,0,"The insurance service Dockerfile does not define a HEALTHCHECK instruction. Without a health check, orchestrators cannot detect hung or unresponsive containers and may route traffic to degraded instances. Demo record 25.",0.07759,0.00024,False,src/main/com.demo/fake-crypto-lib/demo_25.java,10000025,False,,,,Add HEALTHCHECK INTERVAL=30s TIMEOUT=5s CMD curl -f http://localhost:8080/actuator/health || exit 1 to the Dockerfile.,0.00,Info,https://demo.example.com/advisories/DEMO-BEST-PRACTICES,,Risk Active,Info,204,1003,2029-02-17,2028-08-21,Container image has no defined HEALTHCHECK instruction - Demo 25,,,,,,,,,,,Trivy Scan,DEMO_002_FakeShop_TEST_ms_pedidos_test,EQUIPO DEMO ECOMMERCE,Demo_DEMO002,DEMO PRODUCTO B,QA,Demo Corp,,,engine_container,Business Application
,True,org.example_demo-http-client,2.1.0,2026-05-21 10:25:00.000+00:00,7.9,The Terraform remote state backend S3 bucket is configured without server-side encryption and without access logging. The state file contains sensitive infrastructure metadata including IAM role ARNs and database connection strings. Demo record 26.,0.34851,0.00029,False,src/main/org.example/demo-http-client/demo_26.java,10000026,False,,,,Enable SSE-KMS on the Terraform state bucket and configure S3 access logging to a separate audit bucket.,0.01,High,https://nvd.nist.gov/vuln/detail/CVE-2025-99025 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99025 NEWLINE https://demo.example.com/advisories/CVE-2025-99025,,Risk Active,High,205,33,2026-06-23,2025-12-25,Terraform: S3 backend state file has no encryption or access logging - Demo 26,,,,,,,,,,,Checkov,DEMO_001_FakeBank_MR_ms_cuentas,EQUIPO DEMO BACKEND,Demo_DEMO001,DEMO PRODUCTO A,PRODUCCION,Demo Corp,,CVE-2025-99025 org.example_demo-http-client 2.1.0,engine_iac,Business Application
,True,com.example_fake-json-parser,3.0.1,2026-05-21 10:26:00.000+00:00,6,"A ClusterRole definition in the Helm chart grants [""*""] verbs on core API resources including pods, secrets, and configmaps. Any service account bound to this role can read cluster-wide secrets and execute arbitrary commands in any pod. Demo record 27.",0.31791,0.00095,False,src/main/com.example/fake-json-parser/demo_27.java,10000027,False,,,,Replace wildcard verbs with explicit minimal verb sets. Separate read and write roles. Upgrade scheduler to 2.0.2 to patch related scheduling flaw.,0.01,Medium Low,https://nvd.nist.gov/vuln/detail/CVE-2025-99026 NEWLINE https://www.cve.org/CVERecord?id=CVE-2025-99026 NEWLINE https://demo.example.com/advisories/CVE-2025-99026,,Risk Active,Medium,206,56,2026-07-16,2026-01-17,Kubernetes RBAC: ClusterRole binds wildcard verbs to core API group - Demo 27,,,,,,,,,,,Checkov,DEMO_002_FakeShop_MR_ms_pedidos,EQUIPO DEMO ECOMMERCE,Demo_DEMO002,DEMO PRODUCTO B,PRODUCCION,Demo Corp,,CVE-2025-99026 com.example_fake-json-parser 3.0.1,engine_iac,Business Application
